,id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,polarity,subjectivity
0,1550999167748694017,1550999167748694017,2022-07-23 17:19:52 PDT,2022-07-23,17:19:52,-700,2371339658,repjimmygomez,Rep. Jimmy Gomez,,"Great to see so many new and familiar faces at our #CA34 town hall today!  It was a pleasure to host this event at the Anderson Munger Family YMCA in #Koreatown, where I got to hear from so many members of the diverse communities I represent.  Thanks to everyone who came out!  https://t.co/pRr2gEj9yT",en,[],[],"['https://pbs.twimg.com/media/FYZBg2dWIAIBjyN.jpg', 'https://pbs.twimg.com/media/FYZBg2bWYAAqKZ3.jpg', 'https://pbs.twimg.com/media/FYZBg2eXkAE_k85.jpg', 'https://pbs.twimg.com/media/FYZBg2cXkAEx4wm.jpg']",0,5,14,"['ca34', 'koreatown']",[],https://twitter.com/RepJimmyGomez/status/1550999167748694017,0.44251893939393944,0.4840909090909091
1,1542319507724812288,1542319507724812288,2022-06-29 18:30:00 PDT,2022-06-29,18:30:00,-700,3638215945,mirrornow,Mirror Now,,Munger News: The video which has gone viral showed students writing their papers in the dark hall by using the flashlights of their mobile phones.   https://t.co/qjtOafJl4E,en,[],['https://bit.ly/3NvXtJI'],[],0,1,1,[],[],https://twitter.com/MirrorNow/status/1542319507724812288,-0.15,0.4
2,1532397095683928065,1532397095683928065,2022-06-02 09:21:52 PDT,2022-06-02,9:21:52,-700,587852239,tracylehrnews,Tracy Lehr,,Students host #Munger Hall response panel  https://t.co/suy8hmeMga,en,[],['https://keyt.com/news/education/2022/06/01/students-host-munger-hall-response-panel/'],[],0,0,2,['munger'],[],https://twitter.com/TracyLehrNews/status/1532397095683928065,0.0,0.0
3,1532183679719444480,1532183679719444480,2022-06-01 19:13:50 PDT,2022-06-01,19:13:50,-700,587852239,tracylehrnews,Tracy Lehr,,Students host #Munger Hall response panel  https://t.co/suy8hmeMga,en,[],['https://keyt.com/news/education/2022/06/01/students-host-munger-hall-response-panel/'],[],0,1,0,['munger'],[],https://twitter.com/TracyLehrNews/status/1532183679719444480,0.0,0.0
4,1532111273801920513,1532111273801920513,2022-06-01 14:26:07 PDT,2022-06-01,14:26:07,-700,1259979349,johnpalminteri,John Palminteri,,"Proposed to be 11 stories for 4500 students with some windowless rooms, what do you think of the Munger Hall proposal at UC Santa Barbara?  Tonight you can comment in person.  https://t.co/E2A40WQXqu",en,[],[],['https://pbs.twimg.com/media/FUMmxv9UYAAiFDi.jpg'],3,3,3,[],[],https://twitter.com/JohnPalminteri/status/1532111273801920513,0.0,0.0
5,1512913287792541698,1512913287792541698,2022-04-09 15:00:11 PDT,2022-04-09,15:00:11,-700,582280139,newschannel312,News Channel 3-12,,"UCSB is moving forward with design review for Munger Hall, a massive dorm that would house 4500 students. The 11-story building would not have windows in most student dorm rooms.  https://t.co/TvVsDsUwfe",en,[],['https://keyt.com/news/santa-barbara-s-county/2022/04/08/ucsb-no-longer-using-hotels-to-house-students/'],[],6,0,3,[],[],https://twitter.com/NewsChannel312/status/1512913287792541698,0.25,0.75
6,1508219827219054593,1508219827219054593,2022-03-27 16:10:02 PDT,2022-03-27,16:10:02,-700,15113565,uscg,U.S. Coast Guard,,MST2 Thomas Unger from #USCG Sector Key West created this painting using oil from the vessel Munger T. Ball for the Coast Guard Art Program. The painting will be displayed in New York City at the Federal Hall National Memorial and at the Union League Club.  https://t.co/fgPG4tWDht,en,[],[],['https://pbs.twimg.com/media/FO5F8NfXsAwN2iG.jpg'],0,13,85,['uscg'],[],https://twitter.com/USCG/status/1508219827219054593,0.06818181818181818,0.7272727272727273
7,1493635172494835713,1493635172494835713,2022-02-15 09:15:50 PST,2022-02-15,9:15:50,-700,40082907,patrickcsisson,Patrick Sisson,,"Berkeley, build Munger Hall and be legends",en,[],[],[],2,0,6,[],[],https://twitter.com/patrickcsisson/status/1493635172494835713,0.0,0.0
8,1468668704821030918,1468668704821030918,2021-12-08 11:48:00 PST,2021-12-08,11:48:00,-700,12413032,chronicle,The Chronicle of Higher Education,,"In one fell swoop, Munger Hall could deliver more than 4,500 beds to a university facing legal threats over its housing shortage. But there's a catch: Students would have to sleep in windowless bedrooms.  https://t.co/Y4LUXURj4J",en,[],['https://bit.ly/3oAfsFv'],[],0,4,7,[],[],https://twitter.com/chronicle/status/1468668704821030918,0.35,0.35
9,1466500511180410892,1466500511180410892,2021-12-02 12:12:22 PST,2021-12-02,12:12:22,-700,56510427,motherboard,Motherboard,,"The practical problems introduced by UCSB's Munger Hall are just the beginning. To experts who study the importance of natural light in living environments, Dormzilla is an ethical nightmare.  https://t.co/L2LOBuNxix  https://t.co/12pMx4BEsl",en,[],['http://trib.al/9auuEzW'],['https://pbs.twimg.com/media/FFoN-kKXoAw6w6n.jpg'],1,2,6,[],[],https://twitter.com/motherboard/status/1466500511180410892,0.2333333333333333,0.5666666666666668
10,1466458464419524609,1466449348456329224,2021-12-02 09:25:18 PST,2021-12-02,9:25:18,-700,56510427,motherboard,Motherboard,,"At one point, the student who couch surfed their way through the academic year, Izzy Bahamonde-Partlan, ""would have taken literally anything"" that provided a roof over their head.  But even they think Munger Hall is no solution.  https://t.co/L2LOBuNxix",en,[],['http://trib.al/9auuEzW'],[],2,5,29,[],[],https://twitter.com/motherboard/status/1466458464419524609,0.0,0.0
11,1466454886950875140,1466449348456329224,2021-12-02 09:11:05 PST,2021-12-02,9:11:05,-700,56510427,motherboard,Motherboard,,Professors learned that UCSB could cite no research to support its arguments that Munger Hall’s windowless bedrooms are more than glorified torture chambers.  Researchers doubt Munger Hall could even be approved by an ethics committee as an experiment.  https://t.co/L2LOBuNxix,en,[],['http://trib.al/9auuEzW'],[],1,23,65,[],[],https://twitter.com/motherboard/status/1466454886950875140,0.5,0.5
12,1466452987694530578,1466449348456329224,2021-12-02 09:03:32 PST,2021-12-02,9:03:32,-700,56510427,motherboard,Motherboard,,"Motherboard previously reported on Dormzilla when an architect on UCSB's campus design review committee, Dennis McFadden, resigned in protest over the project.  And he's not the only expert/human being who thinks Munger Hall is an awful idea.  https://t.co/sHt9NAu2uJ",en,[],['https://www.vice.com/en/article/3abzkj/billionaire-seeks-to-build-windowless-dorm-in-social-and-psychological-experiment'],[],9,27,85,[],[],https://twitter.com/motherboard/status/1466452987694530578,-0.3888888888888889,0.7222222222222223
